Sample,Sim_Id,AgeBin,Gender,Prevalence,Prevalence-Provincial-all--Beta-alpha,Prevalence-Provincial-all--Beta-beta,Province,Result,Year,weight
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,16.9,1034.807763461902,-971.635706452322,Western,0.0,2002.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,16.0430246,3593.5978876249474,-3367.6626897929286,Western,0.0,2007.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,17.5,7539.259158169162,-7106.501491988067,Western,0.0,2014.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,13.4,1027.807763461902,-949.1803184274318,Central,0.0,2002.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,12.965129800000001,3492.099683691275,-3220.83128934853,Central,0.0,2007.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,9.8,5580.329706497115,-5009.010348691287,Central,0.0,2014.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,17.3,1035.6077634619016,-973.803846498786,Copperbelt,0.2020057306590258,2002.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,12.3305845,3562.899514255689,-3272.032468718984,Copperbelt,0.22490470139771285,2007.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,16.2,8070.176097978713,-7570.078807980027,Copperbelt,0.20041109969167525,2014.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,11.0,1023.0077634619016,-928.097966783547,Eastern,0.0015698587127158554,2002.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,9.1175849,2721.641866930488,-2421.246853692883,Eastern,0.0,2007.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,7.7,6552.681559192647,-5699.813824232563,Eastern,0.0,2014.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,8.6,1018.2077634619019,-897.9277909663319,Luapula,0.0,2002.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,15.316892000000001,5486.88497558957,-5126.725828447345,Luapula,0.0,2007.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,9.7,7090.02797117308,-6357.200345278948,Luapula,0.0,2014.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,18.7,28827.994652668098,-27284.444136482638,Lusaka,0.0021344717182497333,2002.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,19.0665148,8661.392161189533,-8205.172171221071,Lusaka,0.001728608470181504,2007.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,13.0,8125.398280652953,-7498.444566756572,Lusaka,0.0,2014.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,3.5900894,1008.1879422619023,-725.6411842168513,Muchinga,0.0,2007.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,5.8,2940.7390236929364,-2431.887467883809,Muchinga,0.0,2014.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,6.2,1013.407763461904,-848.116188709984,Northern,0.07954545454545454,2002.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,7.6718239,1380.0925529793294,-1198.3318375412014,Northern,0.062385321100917435,2007.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,10.6,5577.477582593707,-5049.394791782979,Northern,0.06484149855907781,2014.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,14.6,2683.898589358238,-2498.1384120049343,Southern,0.13379073756432247,2002.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,13.21220145,3313.1035896088456,-3060.4183724523327,Southern,0.11611030478955008,2007.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,11.0,8263.173647500653,-7510.066952273321,Southern,0.09111880046136102,2014.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,8.3,1017.6077634619018,-893.1249003942028,Western,0.0,2002.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,13.729602900000001,3368.2383219029543,-3120.9844462862784,Western,0.0,2007.5,1.0
50,37ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Male,12.5,7025.601869074862,-6461.633719548874,Western,0.0,2014.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,0.0,1.0,62.524271634637,Central,0.21106557377049184,2002.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,22.1462537,6735.532326189514,-6429.43880240813,Central,0.1826086956521739,2007.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,14.8,12999.529815923874,-12119.250774307397,Central,0.15818431911966988,2014.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,22.1,1045.2077634619018,-995.9585433957524,Copperbelt,0.20738636363636365,2002.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,21.5884494,6384.415684735318,-6086.729062391088,Copperbelt,0.18757612667478685,2007.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,20.0,14663.62260272806,-13928.491472591657,Copperbelt,0.1833648393194707,2014.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,16.1,1132.6475290731323,-1060.3588626710743,Eastern,0.261986301369863,2002.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,11.370672099999998,3484.782471235827,-3176.3993093085887,Eastern,0.274888558692422,2007.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,10.9,11324.197268020245,-10283.371830587195,Eastern,0.26783625730994154,2014.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,13.3,1027.6077634619016,-948.4192098181496,Luapula,0.0,2002.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,11.5189037,3651.8808832667964,-3332.9339776974066,Luapula,0.0,2007.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,12.1,9041.326456647197,-8292.192038742469,Luapula,0.0,2014.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,25.0,1051.0077634619024,-1007.0074529234264,Lusaka,0.0,2002.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,22.397826300000002,5850.611883235692,-5587.443151730899,Lusaka,0.0,2007.5,1.0
